date,k_g,c_f
1998,541.7620072477657,17.81564
1999,628.2855472328056,19.182920000000003
2000,632.4721701353076,34.67876
2001,506.8734830602497,32.02016
2002,584.4655608532854,27.61448
2003,535.3425187972629,43.49012
2004,497.10469628774524,46.68044
2005,575.5340986612813,67.94923999999999
2006,636.6587930378095,53.061080000000004
2007,695.5506218663365,54.884119999999996
2008,772.305375078872,69.24055999999999
2009,840.9659906799035,31.86824
2010,839.849557905903,35.13452
2011,806.9147910728879,32.324
2012,733.5093361823541,22.829
2013,692.7595399313353,30.27308
2014,643.0782814883125,35.13452
2015,589.7686165297879,21.841520000000003
2016,602.3284852372938,21.08192
2017,576.929639628782,24.652040000000003
2018,513.5720797042528,25.8674
2019,494.59272254624403,21.38576
2020,503.80329293174833,17.35988
2021,495.9882635137447,31.488440000000004
2022,429.56051346071416,50.9342
