observation_date,POILBREUSDM,GASREGW
1990-01-01,$20.99 ,
1990-02-01,$19.70 ,
1990-03-01,$18.47 ,
1990-04-01,$16.93 ,
1990-05-01,$16.67 ,
1990-06-01,$15.55 ,
1990-07-01,$17.47 ,
1990-08-01,$26.95 ,#N/A
1990-09-01,$34.66 ,$1.26 
1990-10-01,$36.27 ,$1.34 
1990-11-01,$32.96 ,$1.32 
1990-12-01,$27.87 ,$1.34 
1991-01-01,$23.98 ,$1.18 
1991-02-01,$19.29 ,$1.09 
1991-03-01,$19.56 ,$1.04 
1991-04-01,$19.34 ,$1.08 
1991-05-01,$19.22 ,$1.13 
1991-06-01,$18.17 ,$1.13 
1991-07-01,$19.45 ,$1.10 
1991-08-01,$19.78 ,$1.11 
1991-09-01,$20.54 ,$1.11 
1991-10-01,$22.21 ,$1.09 
1991-11-01,$21.11 ,$1.10 
1991-12-01,$18.25 ,$1.08 
1992-01-01,$18.16 ,$1.02 
1992-02-01,$18.11 ,$1.01 
1992-03-01,$17.66 ,$1.01 
1992-04-01,$19.02 ,$1.05 
1992-05-01,$19.98 ,$1.11 
1992-06-01,$21.19 ,$1.14 
1992-07-01,$20.33 ,$1.14 
1992-08-01,$19.79 ,$1.12 
1992-09-01,$20.29 ,$1.12 
1992-10-01,$20.31 ,$1.11 
1992-11-01,$19.20 ,$1.11 
1992-12-01,$18.27 ,$1.08 
1993-01-01,$17.51 ,$1.06 
1993-02-01,$18.45 ,$1.05 
1993-03-01,$18.84 ,$1.05 
1993-04-01,$18.78 ,$1.08 
1993-05-01,$18.58 ,$1.10 
1993-06-01,$17.63 ,$1.10 
1993-07-01,$16.81 ,$1.08 
1993-08-01,$16.84 ,$1.06 
1993-09-01,$16.14 ,$1.05 
1993-10-01,$16.64 ,$1.09 
1993-11-01,$15.24 ,$1.07 
1993-12-01,$13.56 ,$1.01 
1994-01-01,$14.27 ,$1.00 
1994-02-01,$13.77 ,$1.01 
1994-03-01,$13.77 ,$1.01 
1994-04-01,$15.09 ,$1.03 
1994-05-01,$16.42 ,$1.05 
1994-06-01,$17.11 ,$1.08 
1994-07-01,$18.12 ,$1.11 
1994-08-01,$16.91 ,$1.15 
1994-09-01,$16.04 ,$1.14 
1994-10-01,$16.55 ,$1.11 
1994-11-01,$17.41 ,$1.12 
1994-12-01,$16.04 ,$1.09 
1995-01-01,$16.65 ,$1.08 
1995-02-01,$17.27 ,$1.07 
1995-03-01,$17.24 ,$1.07 
1995-04-01,$18.82 ,$1.11 
1995-05-01,$18.68 ,$1.18 
1995-06-01,$17.35 ,$1.19 
1995-07-01,$16.08 ,$1.15 
1995-08-01,$16.26 ,$1.12 
1995-09-01,$16.69 ,$1.11 
1995-10-01,$16.19 ,$1.09 
1995-11-01,$16.91 ,$1.06 
1995-12-01,$18.24 ,$1.07 
1996-01-01,$18.14 ,$1.09 
1996-02-01,$17.85 ,$1.09 
1996-03-01,$19.81 ,$1.14 
1996-04-01,$21.20 ,$1.23 
1996-05-01,$19.32 ,$1.28 
1996-06-01,$18.58 ,$1.26 
1996-07-01,$19.71 ,$1.23 
1996-08-01,$20.61 ,$1.21 
1996-09-01,$23.08 ,$1.20 
1996-10-01,$24.27 ,$1.20 
1996-11-01,$23.10 ,$1.23 
1996-12-01,$24.04 ,$1.24 
1997-01-01,$23.61 ,$1.24 
1997-02-01,$20.92 ,$1.23 
1997-03-01,$19.56 ,$1.21 
1997-04-01,$17.78 ,$1.20 
1997-05-01,$19.25 ,$1.20 
1997-06-01,$17.80 ,$1.20 
1997-07-01,$18.56 ,$1.17 
1997-08-01,$18.82 ,$1.22 
1997-09-01,$18.58 ,$1.23 
1997-10-01,$20.13 ,$1.20 
1997-11-01,$19.31 ,$1.17 
1997-12-01,$17.42 ,$1.13 
1998-01-01,$15.51 ,$1.09 
1998-02-01,$14.37 ,$1.05 
1998-03-01,$13.46 ,$1.02 
