date,k_g_power,c_f_power,k_g_vehicle,c_f_vehicle
1998,558.355034236728,29.54756744531325,NA,NA
1999,647.7863403984655,31.507247550645868,NA,NA
2000,652.1136616643561,56.834607853351294,NA,NA
2001,522.2940236876403,51.26340699009542,NA,NA
2002,602.4937111488114,43.39577180632665,NA,NA
2003,551.7198082956959,67.73491857519016,NA,NA
2004,512.1969407338958,70.93186715214367,NA,NA
2005,593.262092448245,100.63235149822964,NA,NA
2006,656.4409829302466,76.08357544445634,NA,NA
2007,717.3119687371067,76.70311913834536,NA,NA
2008,796.6461919450996,95.1720434837885,NA,NA
2009,867.6142607057042,43.14749845006366,NA,NA
2010,866.4603083681334,47.0974751196327,140268.38930349366,1636.594812269693
2011,832.4187144097947,42.43827135958547,113823.29050133993,2030.2053000675483
2012,756.5463482145142,29.2730450884545,94369.42471584753,2052.0187752223405
2013,714.4270878931796,38.393975398040986,85372.2477,1950.9317737013591
2014,663.0762088712787,43.91825848023937,77892.2477,1839.5994398766138
2015,607.9749847522726,26.875499845963347,57152.2477,1313.5540215263127
2016,620.9569485499443,25.698360965718372,48397.24770000001,1152.2054315225164
2017,594.7045328702085,29.63409937016851,41002.2477,1275.7048750179615
2018,529.217737713065,30.462085061016595,37007.2477,1404.8255158638215
2019,509.60054797436146,24.737399467615354,34627.2477,1318.671703747872
2020,519.1206547593206,19.783904375605033,32672.2477,1085.5201531552575
2021,511.04298839632486,34.63794677345651,31822.2477,1436.982035776757
2022,442.3828243108619,52.58073084743176,32757.2477,1769.6165404016554
2023,NA,NA,30887.2477,1536.9679848241647
